10022417	146110	1999 02
10022445	131100	1999 02
10024875	608233	1999 02
10025409	600101	1999 02
10027709	613225	1999 02
10029085	181030	1999 02
10029606	300751	1999 02
10036316	253200	1999 02
10049589	300194	1999 03
10051003	107480	1999 03
10051007	143100	1999 03
10051017	137600	1999 03
10051163	130050	1999 03
10051604	614886	1999 03
10051637	256030	1999 03
10052404	256710	1999 03
10053004	252160	1999 03
10053006	616482	1999 03
10053007	607602	1999 03
10053008	237500	1999 03
10053013	603689	1999 03
10053026	312600	1999 03
10053027	615983	1999 03
10063989	614514	1999 03
10066034	203800	1999 03
10067911	101200	1999 03
10069712	184460	1999 03
10069713	166700	1999 03
10069716	300166	1999 03
10070612	250950	1999 03
10070617	232200	1999 03
10071056	607736	1999 03
10071185	274270	1999 03
10072441	601104	1999 03
10073943	609423	1999 03
10074490	249270	1999 03
10074491	265800	1999 03
10074494	604571	1999 03
10076886	207410	1999 03
10076887	207410	1999 03
10077518	201475	1999 03
10077519	220400	1999 03
10077527	613266	1999 03
10077612	142900	1999 03
10077618	180200	1999 03
10077649	604498	1999 03
10077730	135290	1999 03
10080170	124200	1999 03
10080178	124200	1999 03
10080180	181350	1999 03
10080182	222700	1999 03
10080183	222700	1999 03
10080184	185800	1999 03
10080184	186500	1999 03
10084299	226400	1999 03
10084575	262600	1999 03
10084584	146110	1999 03
10084596	274500	1999 03
10086964	615511	1999 03
10086971	192500	1999 03
10090474	103050	1999 03
10090476	608836	1999 03
10090882	500004	1999 03
10090888	600969	1999 03
10092300	601228	1999 03
10094191	227650	1999 03
10094192	230000	1999 03
10094550	300455	1999 03
10097181	117000	1999 03
10099885	612624	1999 04
10102298	607475	1999 04
10102904	605850	1999 04
10189141	277700	1999 04
101896	232600	1978 11
10189842	609755	1999 04
10190325	253270	1999 04
10190329	120435	1999 04
10190329	609310	1999 04
10190331	600791	1999 04
10191125	600143	1999 04
10192379	617749	1999 04
10192380	613750	1999 04
10192385	601071	1999 04
10192386	615978	1999 04
10192387	608768	1999 04
10192393	132600	1999 04
10192395	204870	1999 04
10195214	608930	1999 04
10195897	615592	1999 04
10196363	301310	1999 04
10196371	120435	1999 04
10196377	253601	1999 04
10196384	133540	1999 04
10198724	308240	1999 04
10199352	614372	1999 04
10199409	142680	1999 04
10200305	609423	1999 04
10200986	603965	1999 04
10202939	600274	1999 04
10204851	167800	1999 04
10205263	209500	1999 04
10205264	220110	1999 04
10205266	601885	1999 04
10205269	603776	1999 04
10206641	601705	1999 04
10208169	300624	1999 04
10208170	311360	1999 04
10209165	601596	1999 04
10210919	614116	1999 04
10211467	608931	1999 04
10211478	145900	1999 04
10213041	114290	1999 04
10213042	176920	1999 04
10214757	118200	1999 04
10217080	175200	1999 04
10217419	211980	1999 04
10218527	220290	1999 04
10219239	613693	1999 04
10220139	277700	1999 04
10220376	268100	1999 04
10220438	159900	1999 04
10227634	606072	1999 05
10230814	415000	1999 05
10231392	113000	1999 05
10231870	613712	1999 05
10232404	242300	1999 05
10232754	300055	1999 05
10233365	612631	1999 05
10233438	188050	1999 05
10233898	217090	1999 05
10234502	158350	1999 05
10234505	131760	1999 05
10234513	605472	1999 05
10318934	210900	1999 05
10319206	616331	1999 05
10319851	300844	1999 05
10319867	268400	1999 05
10319869	303800	1999 05
10323741	601634	1999 05
10323747	113800	1999 05
10325711	259720	1999 05
10328130	600880	1999 05
10329755	607736	1999 05
10330338	252010	1999 05
10330338	256000	1999 05
10330339	204500	1999 05
10330340	253600	1999 05
10330343	269921	1999 05
10330345	118300	1999 05
10330346	164500	1999 05
10330365	137750	1999 05
10330419	226650	1999 05
10330430	612098	1999 05
10331951	153700	1999 05
10332028	148700	1999 05
10332035	241510	1999 05
10332040	614883	1999 05
10332959	182940	1999 05
10334322	256450	1999 05
10338089	256450	1999 05
10338090	236200	1999 05
10339581	601492	1999 05
10339583	253300	1999 05
10352942	608013	1999 06
10353779	158350	1999 06
10353782	308350	1999 06
10354021	154800	1999 06
10357843	603813	1999 06
10359588	245480	1999 06
10359825	603147	1999 06
10360392	146000	1999 06
10360393	146000	1999 06
10360402	151210	1999 06
10360402	187600	1999 06
10362788	273300	1999 06
10364519	272750	1999 06
10364530	277300	1999 06
10364543	276900	1999 06
10364543	276902	1999 06
10369247	612965	1999 06
10369255	611162	1999 06
10369256	238970	1999 06
10369257	603471	1999 06
10369261	260920	1999 06
10369262	260920	1999 06
10369264	136880	1999 06
10369266	157170	1999 06
10369267	126600	1999 06
10369308	168300	1999 06
10369860	188400	1999 06
10369869	124500	1999 06
10369874	600195	1999 06
10369876	125700	1999 06
10369879	600101	1999 06
10371078	125310	1999 06
10371530	145900	1999 06
10371545	500008	1999 06
10378403	265120	1999 06
10380920	273300	1999 06
10383749	604129	1999 06
10384399	232500	1999 06
10385124	278750	1999 06
10388790	601104	1999 07
10390358	248250	1999 07
10391211	180100	1999 07
10391212	180100	1999 07
10391218	302960	1999 07
10391219	302960	1999 07
10391221	249270	1999 07
10391242	176500	1999 07
10393037	600638	1999 07
10393837	131100	1999 07
10394368	114500	1999 07
10395222	103780	1999 07
10396622	153800	1999 07
10396622	248200	1999 07
10398231	300263	1999 07
10398237	309580	1999 07
10398241	304340	1999 07
10398242	300419	1999 07
10398243	300419	1999 07
10398246	300419	1999 07
10398246	309549	1999 07
10398247	300803	1999 07
10398605	278750	1999 07
10399877	254110	1999 07
10400989	601369	1999 07
10400993	158350	1999 07
10401000	176200	1999 07
10401003	180100	1999 07
10403343	611162	1999 07
10404817	264350	1999 07
10405450	520000	1999 07
10406661	156550	1999 07
10406984	607791	1999 07
10407773	605407	1999 07
10407778	613163	1999 07
10408400	273300	1999 07
10408777	175200	1999 07
10411504	603932	1999 07
10412802	600274	1999 07
10412811	143500	1999 07
10412980	603909	1999 07
10417273	225410	1999 07
10417274	248360	1999 07
10417277	613095	1999 07
10417278	219800	1999 07
10417279	312080	1999 07
10417280	176270	1999 07
10417282	144250	1999 07
10417283	146550	1999 07
10420194	225280	1999 07
10424811	130650	1999 07
10424812	130650	1999 07
10424815	115197	1999 07
10424816	164400	1999 07
10426386	256450	1999 07
10429359	257300	1999 08
10430757	604765	1999 08
10431236	205400	1999 08
10431236	604091	1999 08
10431237	205400	1999 08
10431238	205400	1999 08
10431241	129490	1999 08
10431241	224900	1999 08
10431244	227645	1999 08
10431248	313400	1999 08
10432380	611771	1999 08
10439966	131100	1999 08
10440267	600132	1999 08
10440702	277700	1999 08
